Glyph,ALA-LC,Alone-Stokes,B&D,Campbell,Chaîne,Cohen,Dawkins,Dept of State,ethiop,SERA,ALA-LC_simp,Alone-Stokes_simp,B&D_simp,Campbell_simp,Chaîne_simp,Cohen_simp,Dawkins_simp,Dept of State_simp,ethiop_simp,SERA_simp
ር,re/r,r/ri,rə/rø,re,rĕ,r/rə,rï,rɪ,re,r,re/r,r/ri,r@/ro,re,re,r/r@,ri,ri,re,r
ሮ,ro,ro,ro,rō,ro,rʷo,ro,ro,ro,ro,ro,ro,ro,ro,ro,rwo,ro,ro,ro,ro
ሯ,rwa,,,,,rwa,rwä,,rwā,rWa,rwa,,,,,rwa,rwa,,rwa,rwa
ሰ,sa,sa,sä,sa,să,sɑ,sä,sə,sa,se,sa,sa,sa,sa,sa,sa,sa,s@,sa,se
ሱ,su,su,su,sū,su,su,su,su,su,su,su,su,su,su,su,su,su,su,su,su
ሲ,si,sī,si,sī,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si
ሳ,sā,sā,sa,sā,sa,sa,sa,sa,sā,sa,sa,sa,sa,sa,sa,sa,sa,sa,sa,sa
ሴ,sé,sē,se,sē,se,sʸe,se,se,sē,sE,se,se,se,se,se,sye,se,se,se,se
ስ,se/s,s/si,sə/sø,se,sĕ,s/sə,sï,sɪ,se,s,se/s,s/si,s@/so,se,se,s/s@,si,si,se,s
ሶ,so,so,so,sō,so,sʷo,so,so,so,so,so,so,so,so,so,swo,so,so,so,so
ሷ,swa,,,,,swa,swä,,swā,sWa,swa,,,,,swa,swa,,swa,swa
ሸ,ša,sha,šä,,chă,šä,shä,šə,ša,xe,sa,sha,sa,,cha,sa,sha,s@,sa,xe
ሹ,šu,shu,šu,,chu,šu,shu,šu,šu,xu,su,shu,su,,chu,su,shu,su,su,xu
ሺ,ši,shī,ši,,chi,ši,shi,ši,ši,xi,si,shi,si,,chi,si,shi,si,si,xi
ሻ,šā,shā,ša,,cha,ša,sha,ša,šā,xa,sa,sha,sa,,cha,sa,sha,sa,sa,xa
ሼ,šé,shē,še,,che,še,she,še,šē,xE,se,she,se,,che,se,she,se,se,xe
