Glyph,USV,ALA-LC,Alone-Stokes,B&D,Campbell,Chaîne,Cohen,Dawkins,Dept of State,ethiop,SERA
ⷀ,2DC0,,,,,,,,,q́a,‘qe
ⷁ,2DC1,,,,,,,,,q́u,‘qu
ⷂ,2DC2,,,,,,,,,q́i,‘qi
ⷃ,2DC3,,,,,,,,,q́ā,‘qa
ⷄ,2DC4,,,,,,,,,q́ē,‘qE
ⷅ,2DC5,,,,,,,,,q́e,‘q
ⷆ,2DC6,,,,,,,,,q́o,‘qo
ቐ,1250,,,,,qă,,,,q̣a,Qe
ቑ,1251,,,,,qi,,,,q̣u,Qu
ቒ,1252,,,,,qa,,,,q̣i,Qi
ቓ,1253,,,,,,,,,q̣ā,Qa
ቔ,1254,,,,,qĕ,,,,q̣ē,QE
ቕ,1255,,,,,qo,,,,q̣e,Q
ቖ,1256,,,,,,,,,q̣o,Qo
ቘ,1258,,,,,,,,,q̣wa,QWe
ቚ,125A,,,,,,,,,q̣wi,QWi
ቛ,125B,,,,,,,,,q̣wā,QWa
ቜ,125C,,,,,,,,,q̣wē,QWE
ቝ,125D,,,,,,,,,q̣we,QW
በ,1260,ba,ba,bä,ba,bă,bɑ,bä,bə,ba,be
ቡ,1261,bu,bu,bu,bū,bu,bu,bu,bu,bu,bu
ቢ,1262,bi,bī,bi,bī,bi,bi,bi,bi,bi,bi
ባ,1263,bā,bā,ba,bā,ba,ba,ba,ba,bā,ba
ቤ,1264,bé,bē,be,bē,be,bʸe,be,be,bē,bE
ብ,1265,be/b,b/bi,bə/bø,be,bĕ,b/bə,bï,bɪ,be,b
ቦ,1266,bo,bo,bo,bō,bo,bʷo,bo,bo,bo,bo
ᎄ,1384,,,,,,bwa,bwä,,bwa,bWe
ᎅ,1385,,,,,,,,,bwi,bWi
ቧ,1267,bwa,,,,,,,,bwā,bWa
ᎆ,1386,,,,,,,,,bwē,bWe
ᎇ,1387,,,,,,,,,bwe,bW
ቨ,1268,va,,,,,,,və,va,ve
ቩ,1269,vu,,,,,,,vu,vu,vu
ቪ,126A,vi,,,,,,,vi,vi,vi
ቫ,126B,vā,,,,,,,va,vā,va
ቬ,126C,vé,,,,,,,ve,vē,vE
